feature_path,label,source
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000024.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000025.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000026.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000027.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000028.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_jenmusic_000029.npy,1,external_jenmusic
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000030.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000031.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000032.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000033.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000034.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000035.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000036.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000037.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000038.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mubert_000039.npy,1,external_mubert
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000040.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000041.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000042.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000043.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000044.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000045.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000046.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000047.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000048.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_mureka_000049.npy,1,external_mureka
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000050.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000051.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000052.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000053.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000054.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000055.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000056.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000057.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000058.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_soundverse_000059.npy,1,external_soundverse
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000060.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000061.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000062.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000063.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000064.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000065.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000066.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000067.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000068.npy,1,external_tad_ai
C:\Users\tessi\Documents\ai-music-detection\data\external\processed\external_tad_ai_000069.npy,1,external_tad_ai
